,phytolith_counts_all,phytolith_counts_dgn,pollen_counts_all,pollen_counts_dgn,phytolith_conc_all,phytolith_conc_dgn,pollen_conc_all,pollen_conc_dgn,log Phytolith Conc.,log Diag. Phyt. Conc.,log Pollen Concentration,log Diag. Poll. Conc.
BG1.020,382,226,64,34,6271.693651,3710.478443,1050.754957,558.213571,8.743801717,8.218916108,6.957264192,6.324741633
BG1.040,123,88,102,55,2002.611521,1432.762714,1660.702237,895.4766962,7.602207368,7.267359827,7.414995826,6.797356198
BG1.060,464,301,38,27,28051.24547,18197.03639,2297.300275,1632.292301,10.24178831,9.809014024,7.739489919,7.397740625
BG1.090,23,19,25,2,853.5794393,705.1308411,927.8037383,74.22429907,6.749438613,6.558383376,6.832820222,4.307091577
BG1.100,70,40,49,29,830.5232558,474.5847176,581.3662791,344.0739203,6.722055931,6.162440143,6.365380987,5.840856519
BG1.110,398,271,85,27,4221.308761,2874.308226,901.5357906,286.3701923,8.347900492,7.963567307,6.804099743,5.657285353
BG1.150,548,358,63,37,3084.389283,2014.98424,354.5921986,208.2525611,8.034108953,7.608366653,5.870968393,5.338751579
BG1.175,370,265,65,29,7101.010101,5085.858586,1247.474747,556.5656566,8.867992321,8.534219141,7.128876585,6.321785145
BG1.195,389,268,75,38,2683.335104,1848.673028,517.3525265,262.1252801,7.894815742,7.522223378,6.248724512,5.568822558
BG1.210,510,271,32,27,100059.7826,53169.02174,6278.26087,5297.282609,11.51352311,10.88123121,8.74484829,8.574949253
BG1.220,460,277,46,34,8145.857093,4905.222641,814.5857093,602.0850895,9.005264745,8.498055762,6.702679652,6.40039878
BG1.230,130,99,139,99,1262.165946,961.1879129,1349.546666,961.1879129,7.140584529,6.868169929,7.207524012,6.868169929
BG1.240,385,265,104,68,3193.800813,2198.33043,862.7409988,564.0998839,8.068966964,7.695453456,6.760114529,6.335231335
BG1.255,696,447,137,77,14013.1623,8999.832683,2758.337981,1550.306748,9.547752331,9.104961265,7.922383597,7.346208093
BG1.270,468,253,28,24,80902.68657,43735.85406,4840.331675,4148.855721,11.30100231,10.6859235,8.484738525,8.330587845
BG1.280,364,250,10,7,114597.8858,78707.33917,3148.293567,2203.805497,11.64918463,11.27349169,8.05461586,7.697940916
BG1.290,648,397,30,24,32382.0598,19839.00886,1499.169435,1199.335548,10.38535984,9.895405423,7.312666524,7.089522973
BG1.295,519,278,39,25,21070.51282,11286.32479,1583.333333,1014.957265,9.955629845,9.331347076,7.367287608,6.922601787
BG1.300,561,356,54,37,10327.33923,6553.534342,994.0754339,681.1257603,9.242549952,8.787759777,6.901813093,6.523746959
BG1.305,374,265,43,28,4777.657679,3385.238729,549.3028882,357.6856016,8.47170568,8.127179709,6.308649998,5.879654393
BG1.310,34,26,22,12,457.9018088,350.1602067,296.2894057,161.6124031,6.12665477,5.858390783,5.691336699,5.085200895
BG1.315,355,219,42,16,7601.569401,4689.41887,899.3406052,342.6059448,8.936110005,8.453063945,6.801661834,5.836580938
BG1.320,461,286,53,27,13934.93983,8645.103668,1602.064666,816.1461505,9.542154622,9.06474839,7.379048492,6.704593445
BG1.325,435,264,41,19,3884.033368,2357.206458,366.0813059,169.6474345,8.26462942,7.765232493,5.902855456,5.133722369
BG1.330,459,252,19,13,12742.69075,6995.98708,527.4752164,360.9040954,9.452713112,8.853091989,6.268101881,5.888612259
BG1.335,569,356,57,32,4035.8286,2525.052692,404.2921445,226.9710285,8.302966913,7.83401721,6.002137746,5.424822381
BG1.340,472,265,24,10,31770.15391,17837.05675,1615.431555,673.0964811,10.36628257,9.789033412,7.387357416,6.511888679
BG1.345,75,61,2,1,5612.562189,4564.883914,149.668325,74.83416252,8.632762612,8.426148363,5.008421679,4.315274499
BG1.350,28,13,0,0,NA,NA,NA,NA,Inf,Inf,NA,NA
BG1.355,478,289,1,0,527260.5556,318783.0556,1103.055556,0,13.17545012,12.67226607,7.005839386,NA
BG1.360,401,280,15,9,3317.439583,2316.416667,124.09375,74.45625,8.106948555,7.74777673,4.821037328,4.310211705
