SAMPLE,LAT,LON,PAP,SPH_ECH,SPH_ORN,SPH_PSI,ACU_BUL,BUL_FLA,BIL,CRO,SAD,SUM,UNDIFF,Iph%,Fs%,D/P,AET/PET,ANN_PRECIP_mm,BIOCLIM
RIM 3,21.53,−13.00,0,2,4,5,36,52,18,0,6,123,143,25,42.28,0.04,0.05,91,SAHARAN
RIM 8,21.03,−12.15,1,7,5,2,46,43,13,0,5,122,172,27.78,35.25,0.05,0.06,98,SAHARAN
MAU 07,20.93,−12.20,0,2,9,11,53,56,37,1,11,180,202,22.45,31.11,0.06,0.06,99,SAHARAN
MAU 06,20.63,−12.63,3,0,4,5,55,55,61,0,6,189,263,8.96,29.1,0.02,0.06,102,SAHARAN
MAU 05,20.4,−13.03,1,1,1,2,44,44,26,3,5,127,262,14.71,34.65,0.01,0.06,103,SAHARAN
MAU 04,20.23,−13.37,1,3,4,5,53,53,49,2,21,191,240,29.17,27.75,0.02,0.06,102,SAHARAN
RIM 2,19.93,−14.08,1,3,5,6,54,62,8,0,2,141,242,20,43.97,0.04,0.06,101,SAHARAN
RIM 11,16.93,−15.20,0,0,2,3,55,93,45,0,41,239,299,47.67,38.91,0.01,0.16,225,SAHELIAN
RIM 10,16.73,−15.17,0,0,6,2,36,90,22,1,16,173,349,41.03,52.02,0.04,0.17,227,SAHELIAN
R1M 1,16.68,−15.97,2,3,18,9,38,97,35,1,5,208,271,12.2,46.63,0.1,0.16,230,SAHELIAN
83-35,16.5,−14.60,2,0,4,1,67,78,5,5,27,189,128,72.97,41.27,0.02,0.16,226,SAHELIAN
S.33,16.39,−14.82,4,0,12,4,29,27,114,5,46,241,163,27.88,11.2,0.05,0.17,234,SAHELIAN
S.32,16.29,−15.35,0,1,1,4,36,37,48,5,22,154,191,29.33,24.03,0.01,0.18,256,SAHELIAN
83-30,16.17,−14.93,2,0,5,2,37,39,85,6,23,199,310,20.18,19.6,0.03,0.18,252,SAHELIAN
S.40,16.1,−13.89,0,0,15,3,47,45,74,4,60,248,196,43.48,18.15,0.07,0.22,313,SAHELIAN
S.29,16.08,−14.92,0,0,9,3,31,26,77,3,39,188,225,32.77,13.83,0.05,0.19,272,SAHELIAN
